,ward code,Obesity Prevalence
331,E05000357,0.48324847
332,E05000358,0.34697652
333,E05000359,0.47089106
334,E05000360,0.41778272
335,E05000361,0.46817112
336,E05000362,0.45462734
337,E05000363,0.38053763
338,E05000364,0.3802223
339,E05000365,0.6740283
340,E05000366,0.5873263
341,E05000367,0.35684294
342,E05000368,0.4026044
343,E05000369,0.4195349
344,E05000370,0.5849417
345,E05000371,0.58099663
346,E05000372,0.28489485
347,E05000373,0.29271975
348,E05000374,0.48985305
349,E05000375,0.26089102
350,E05000376,0.21726698
351,E05000377,0.46878955
352,E05000378,0.45163482
353,E05000379,0.14067638
354,E05000380,0.81068474
355,E05000381,0.30372092
356,E05000382,0.7110828
357,E05000383,0.5497852
358,E05000384,0.8553685
359,E05000385,0.59395725
360,E05000386,0.4061104
361,E05000387,0.9004351
362,E05000388,0.32260287
363,E05000389,0.5308744
364,E05000390,0.0
365,E05000391,0.6843518
366,E05000392,0.43532062
367,E05000393,0.35833493
368,E05000394,0.54668736
369,E05000395,0.58503926
370,E05000396,0.8152824
371,E05000397,0.65376484
372,E05000398,0.4254061
373,E05000399,0.6065861
374,E05000400,0.51197624
375,E05000401,0.17353097
376,E05000402,0.3604926
377,E05000403,0.08860636
378,E05000404,0.6089327
379,E05000405,0.34123272
380,E05000406,0.521871
381,E05000407,0.4631882
382,E05000408,0.39351225
383,E05000409,0.77443266
384,E05000410,0.5773115
385,E05000411,0.36092952
386,E05000412,0.5180131
387,E05000413,0.3135805
388,E05000414,0.36148784
389,E05000415,0.42959946
390,E05000416,0.3399049
391,E05000417,0.6888302
392,E05000418,0.69133085
393,E05000419,0.3182333
394,E05000420,0.39189696
395,E05000421,0.34232366
396,E05000422,0.60741574
397,E05000423,0.5037092
398,E05000424,0.44952112
399,E05000425,0.34890383
400,E05000426,0.37970412
401,E05000427,0.22029048
402,E05000428,0.8895301
403,E05000429,0.31844914
404,E05000430,0.27953488
405,E05000431,0.3372093
406,E05000432,0.30511627
407,E05000433,0.0
408,E05000434,0.4782742
409,E05000435,0.4063542
410,E05000436,0.10710299
411,E05000437,0.3578357
412,E05000438,0.34182715
413,E05000439,0.47574985
414,E05000440,0.4
415,E05000441,0.24145654
416,E05000442,0.083405584
417,E05000443,0.31478846
418,E05000444,0.42669517
419,E05000445,0.47462505
420,E05000446,0.35162765
421,E05000447,0.34790698
422,E05000448,0.18964198
423,E05000449,0.33860344
424,E05000450,0.19767779
425,E05000451,0.35723013
426,E05000452,0.58282787
427,E05000453,0.41583753
428,E05000454,0.36837208
429,E05000455,0.5226678
430,E05000456,0.30115935
431,E05000457,0.24790698
432,E05000458,0.72002006
433,E05000459,0.6200334
434,E05000460,0.6061493
435,E05000461,0.33852184
436,E05000462,0.6305132
437,E05000463,0.5465541
438,E05000464,0.4308118
439,E05000465,0.4646176
440,E05000466,0.3439337
441,E05000467,0.53101933
442,E05000468,0.15168914
443,E05000469,0.3660519
444,E05000470,0.23389623
445,E05000471,0.30001664
446,E05000472,0.47619188
447,E05000473,0.26511627
448,E05000474,0.5216636
449,E05000475,0.15343359
450,E05000476,0.6487564
451,E05000477,0.5446926
452,E05000478,0.47424847
453,E05000479,0.4845556
454,E05000480,0.6013643
455,E05000481,0.45962578
456,E05000482,0.8371813
457,E05000483,0.58332014
458,E05000484,0.78557473
459,E05000485,0.41178104
460,E05000486,0.4255814
461,E05000487,0.5409302
462,E05000488,0.36424363
