region,Diabetes_100,Diabetes_101,Diabetes_102,Diabetes_103,Diabetes_104,Diabetes_105,Diabetes_106,Diabetes_107,Diabetes_108
0709,0.0919,0.12,0.0661,0.0723,0.0232,0.0289,0.0303,0.0344,0.0273
0710,0.0564,0.0792,0.1,0.1048,0.0088,0.0088,0.0103,0.0101,0.0105
0711,0.1721,0.1985,0.1579,0.1678,0.0958,0.1353,0.1561,0.0777,0.1215
0712,0.0647,0.1471,0.0989,0.0938,0.1538,0.2045,0.1753,0.165,0.2245
0713,0.2857,0.4667,0.5833,0.7778,0.0096,0.0156,0.0157,0.0148,0.0125
0714,0.241,0.1613,0.1959,0.2211,0.0062,0.0075,0.0083,0.0074,0.0046
0715,0.1951,0.2174,0.2063,0.1462,0.2057,0.2333,0.1582,0.1892,0.18
0716,0.0808,0.0599,0.0396,0.0398,0.0051,0.0039,0.0042,0.0033,0.0042
0717,0.4375,0.4898,0.32,0.3148,0.0091,0.0065,0.0066,0.0068,0.0065
0718,0.1333,0.2,0.16,0.1224,0.014,0.0103,0.0079,0.0033,0.014
0719,0.1493,0.1212,0.058,0.2464,0.0062,0.006,0.0052,0.0046,0.0091
0720,0.135,0.1205,0.1681,0.1,0.0644,0.0544,0.0627,0.0384,0.0457
0721,0.0271,0.0326,0.0268,0.0225,0.0526,0.0556,0.0881,0.0602,0.0353
0722,0.0348,0.045,0.0476,0.0714,0.0072,0.004,0.0049,0.009,0.0069
0723,0.0061,0.0322,0.0159,0.0223,0.0813,0.1132,0.082,0.0714,0.0443
0724,0.186,0.225,0.3878,0.2041,0.0374,0.0699,0.0681,0.0576,0.0408
0726,0.0014,0.0007,0.002,0.0013,0.0303,0.0102,0.0467,0.0185,0.0431
0728,0.2338,0.1688,0.2442,0.2135,0.4194,0.5143,0.4516,0.4839,0.4545
0729,0.0749,0.086,0.0479,0.0678,4.2143,3.0769,2.8824,2.45,2.5294
0730,0.0329,0.0346,0.0285,0.0307,0.1749,0.1984,0.1688,0.1253,0.1789
0731,0.0287,0.0292,0.0298,0.0254,0.1872,0.1936,0.1304,0.1684,0.1485
0732,0.0928,0.0821,0.0802,0.0839,1.8833,1.7812,1.5231,1.8281,1.8769
0733,0.142,0.1445,0.0724,0.1125,3.7143,3.8,8.6667,8.5,10.0
0734,0.1061,0.1493,0.1447,0.1412,0.0055,0.0047,0.0061,0.0045,0.0087
0735,0.1181,0.1258,0.1091,0.1403,0.1083,0.0905,0.0902,0.0804,0.0892
0736,0.0437,0.0445,0.0348,0.0413,0.2196,0.2134,0.263,0.1551,0.1927
0737,0.1818,0.1193,0.157,0.0984,0.0355,0.0384,0.0537,0.0375,0.0387
0738,0.0234,0.0201,0.0139,0.0161,0.1079,0.0974,0.0748,0.1238,0.0847
1101,0.0044,0.0079,0.0092,0.0076,0.0106,0.0077,0.0079,0.0064,0.0077
1102,0.0093,0.013,0.016,0.0117,0.0106,0.013,0.0131,0.0146,0.0179
1103,0.0388,0.0168,0.0421,0.0333,0.0323,0.0136,0.0368,0.0377,0.0429
1104,0.0579,0.0769,0.0692,0.0976,0.1075,0.098,0.08,0.0747,0.096
1105,0.0489,0.0644,0.0738,0.0586,0.0711,0.0677,0.087,0.0365,0.0595
1106,0.0298,0.0253,0.0324,0.0353,0.0257,0.0343,0.0374,0.0324,0.0227
1107,0.028,0.0259,0.0416,0.0209,0.0234,0.0363,0.0181,0.0265,0.0335
1201,0.0322,0.0349,0.0287,0.0462,0.0523,0.0595,0.0434,0.0381,0.0453
1204,0.0306,0.0298,0.0372,0.0443,0.0532,0.0586,0.0694,0.0378,0.0433
1205,0.0125,0.0231,0.0166,0.0271,0.0334,0.0378,0.0398,0.0166,0.027
2201,0.0736,0.0658,0.0879,0.1078,0.0854,0.093,0.098,0.1046,0.0719
2202,0.1648,0.112,0.1352,0.1337,0.1712,0.1143,0.1295,0.103,0.1288
3101,0.0499,0.0498,0.0445,0.0451,0.038,0.0426,0.0415,0.037,0.037
3102,0.0766,0.067,0.0697,0.068,0.0632,0.0716,0.0679,0.0546,0.0589
3103,0.0756,0.0903,0.0682,0.0803,0.0703,0.0719,0.0543,0.0557,0.0646
3104,0.055,0.0523,0.0503,0.0469,0.0433,0.0447,0.0449,0.0414,0.043
3105,0.0302,0.0279,0.0262,0.0258,0.0213,0.0229,0.0208,0.0232,0.0211
3106,0.0246,0.0227,0.025,0.0203,0.0222,0.0258,0.0259,0.019,0.0258
3107,0.0118,0.0104,0.0103,0.0126,0.0092,0.008,0.0066,0.0083,0.0092
3108,0.0073,0.0101,0.0107,0.0126,0.0094,0.0093,0.0114,0.0138,0.0105
3109,0.0131,0.0119,0.0098,0.0168,0.0143,0.015,0.0127,0.009,0.0141
3110,0.0199,0.0183,0.0207,0.0234,0.0175,0.0207,0.0154,0.0173,0.0167
3111,0.0111,0.0113,0.0157,0.0124,0.0111,0.0122,0.0089,0.0091,0.0098
3112,0.019,0.0241,0.0241,0.0372,0.0303,0.0244,0.0273,0.0239,0.0372
3113,0.0188,0.0167,0.0185,0.0165,0.0165,0.0169,0.0175,0.0167,0.0163
3114,0.027,0.0214,0.0296,0.0242,0.026,0.0316,0.0243,0.0211,0.0204
3115,0.0171,0.0166,0.0183,0.013,0.0124,0.0147,0.013,0.0112,0.0113
3116,0.0154,0.0153,0.0258,0.0271,0.0264,0.0139,0.0181,0.0205,0.01
3117,0.0132,0.0114,0.0069,0.0078,0.0103,0.0145,0.0106,0.0097,0.0077
3118,0.0304,0.0215,0.04,0.0276,0.045,0.0311,0.0187,0.0093,0.0086
3119,0.1667,0.1765,0.1176,0.0882,0.1143,0.0588,0.0556,0.1316,0.1053
3120,0.3077,0.3,0.2222,0.2222,0.1111,0.2857,0.1176,0.4286,0.1
3121,0.013,0.0234,0.0306,0.0365,0.022,0.0429,0.02,0.0316,0.0365
3122,0.037,0.0893,0.0189,0.1489,0.1538,0.1091,0.0816,0.0556,0.1538
3123,0.0212,0.0153,0.0114,0.0136,0.0109,0.0084,0.0105,0.0137,0.0088
3124,0.1304,0.1481,0.0741,0.1154,0.12,0.125,0.0417,0.2174,0.2727
3125,0.2222,0.3214,0.619,0.1818,0.5,0.125,0.6,0.28,0.3077
3126,0.0563,0.0411,0.1233,0.0267,0.1429,0.1486,0.0952,0.0575,0.0805
3127,0.0784,0.068,0.0182,0.0811,0.1182,0.048,0.1508,0.0882,0.0602
3128,0.0538,0.0244,0.0253,0.0241,0.0489,0.0296,0.0203,0.0274,0.0403
3201,0.0166,0.0127,0.0159,0.019,0.0053,0.0068,0.0054,0.0059,0.0056
3202,0.0131,0.0159,0.0141,0.0176,0.0919,0.1018,0.0764,0.0907,0.0985
3203,0.0063,0.0053,0.0036,0.0114,0.1074,0.1178,0.1497,0.1369,0.107
3204,0.0146,0.021,0.0132,0.0112,0.2329,0.2326,0.1775,0.1914,0.1868
3205,0.0088,0.0095,0.0076,0.0051,0.1389,0.2105,0.1164,0.2261,0.2069
3206,0.0098,0.0091,0.0106,0.0046,0.0817,0.0864,0.088,0.0658,0.0628
3207,0.0077,0.0065,0.0062,0.0113,0.082,0.0675,0.0589,0.0775,0.0548
3208,0.0082,0.0071,0.0088,0.0127,0.067,0.0713,0.0605,0.075,0.0592
3209,0.0148,0.013,0.0065,0.0081,0.0563,0.072,0.0727,0.0629,0.0717
3210,0.0107,0.0083,0.0099,0.0104,0.0516,0.0497,0.0488,0.043,0.0491
3211,0.064,0.0471,0.0538,0.0415,0.0665,0.0513,0.0766,0.0643,0.0726
3212,0.0187,0.0208,0.0239,0.0243,0.0053,0.0039,0.0053,0.0059,0.0072
3213,0.0013,0.0013,0.0001,0.0013,0.0007,0.0013,0.0023,0.0015,0.0013
3301,0.0619,0.0876,0.0779,0.0379,0.0351,0.0389,0.052,0.0583,0.0268
3302,0.1075,0.0861,0.0876,0.0954,0.112,0.0627,0.0618,0.0409,0.0646
3303,0.0086,0.0062,0.0089,0.0107,0.0124,0.0116,0.0122,0.0138,0.0105
3305,0.0494,0.0465,0.0596,0.0593,0.0556,0.0589,0.0522,0.0594,0.0494
3306,0.0173,0.0104,0.036,0.0324,0.0201,0.0274,0.0255,0.0305,0.0312
3307,0.0375,0.0484,0.0363,0.0559,0.0379,0.0507,0.0542,0.0396,0.0382
3308,0.054,0.0374,0.0391,0.0464,0.0633,0.0459,0.0455,0.0472,0.0449
3309,0.0591,0.0657,0.0633,0.0427,0.0717,0.064,0.0426,0.05,0.048
3310,0.0439,0.0169,0.0746,0.0534,0.0526,0.0758,0.087,0.0629,0.0803
3311,0.1111,0.0952,0.0972,0.1154,0.1266,0.1558,0.0909,0.1,0.051
3312,0.2143,0.2917,0.2581,0.2,0.2059,0.1842,0.2571,0.3056,0.2
3313,0.0005,0.0005,0.0005,0.0005,0.0006,0.0002,0.0006,0.0006,0.0007
3314,0.001,0.0005,0.0012,0.0012,0.001,0.001,0.0007,0.0002,0.001
3401,0.0264,0.0231,0.0194,0.0191,0.6066,0.5,0.3968,0.4098,0.3235
3402,0.0193,0.016,0.019,0.012,0.4,0.3704,0.3833,0.2462,0.2353
3403,0.0291,0.0464,0.0217,0.0264,0.3099,0.2361,0.2162,0.2727,0.2088
3404,0.0602,0.0872,0.0605,0.0246,0.044,0.0342,0.0627,0.023,0.0299
3405,0.0766,0.0726,0.0682,0.0578,0.0517,0.0652,0.0622,0.0489,0.0428
3406,0.1104,0.0494,0.0497,0.0326,0.0432,0.0629,0.095,0.0484,0.0642
3407,0.0385,0.0481,0.0445,0.0441,0.0272,0.0128,0.0166,0.0226,0.0166
3408,0.0323,0.0287,0.0357,0.0209,0.1456,0.1905,0.1698,0.1217,0.0431
3409,0.0299,0.0189,0.0411,0.0209,0.0083,0.0224,0.0157,0.0133,0.0104
3410,0.0319,0.0329,0.0287,0.0252,0.2143,0.1455,0.1311,0.2239,0.2667
3412,0.0013,0.0008,0.0013,0.0009,0.0015,0.0005,0.001,0.001,0.0013
3501,0.052,0.049,0.0381,0.0625,0.0455,0.0463,0.0359,0.0302,0.0323
3502,0.3119,0.2439,0.1769,0.2121,0.0324,0.0392,0.0216,0.0183,0.0186
3503,0.1963,0.1429,0.1534,0.1214,0.0101,0.0227,0.0065,0.0149,0.1736
3504,0.0495,0.0481,0.0388,0.0314,0.2917,0.2941,0.2327,0.277,0.3198
