,region,Diabetes_100,Diabetes_101,Diabetes_102,Diabetes_103,Diabetes_104,Diabetes_105,Diabetes_106,Diabetes_107,Diabetes_108
56,516,0.8363801142206045,0.8432248672818974,0.8153131191397373,0.8290026448119416,0.2850936888278603,0.3534627095486768,0.338713550199833,0.2850936888278603,0.26711028408512205
57,517,0.823416717571705,0.8146770041583735,0.8180889536988831,0.7771790146701099,0.614158473843237,0.6107876815017942,0.652050282445376,0.6238072390276934,0.638404065300476
58,518,0.7968772215235419,0.8598903528069614,0.8519966335832321,0.8240687025046289,0.7753324863556312,0.7339794522482945,0.7177278497645729,0.7282632952836241,0.7232329817281666
59,519,0.882585468491566,0.0,0.8504990554703773,0.8446856007444571,0.6864447759798085,0.7698578389155282,0.7350725385566345,0.7363232666909352,0.7555138397182005
60,520,0.7317562533923071,0.7790282560703837,0.7221301711598579,0.7799037261415506,0.7608541375904023,0.7744920536036518,0.8180889536988831,0.7930428993991705,0.7350725385566345
61,521,0.7306255759760062,0.7737217595900316,0.8133923331310159,0.7686847950438075,0.7863693448220432,0.802896530321745,0.7853436616058451,0.7309840342038767,0.729542318200689
62,522,0.7317562533923071,0.6481232933001931,0.8532648857088012,0.8284713922863304,0.6917333508446973,0.661776575489819,0.6304708809725683,0.6856925462356125,0.6813509122572501
63,523,0.8110633822257443,0.7657525586226431,0.7652060993459978,0.8191436281331118,0.7497199329780665,0.7797583530170125,0.774683690825668,0.7732955196344127,0.7433541341799225
64,524,0.7848958649879847,0.7165613624292507,0.8000956848982191,0.8846789140771626,0.6115912350062219,0.6166605854003846,0.524556207184167,0.587202008885304,0.5143785632680088
65,525,0.8000956848982191,0.7449198122463014,0.745847427049933,0.7097019576506972,0.7385574652039325,0.7753324863556312,0.782908089783309,0.782908089783309,0.7317562533923071
66,526,0.8474155952325464,0.7638479278404037,0.8552979778676164,0.778107969051544,0.6289725891688401,0.5578824125033987,0.6087496824068391,0.543422083952872,0.565511827146262
67,527,0.685219472680587,0.6923528679374015,0.6408136055082548,0.6460290395297487,0.8448361320932379,0.8559720665814029,0.8328983719770725,0.8154904986429063,0.7942120686047031
68,528,0.6528436029188032,0.6349918001264004,0.6330795790647163,0.6669321057646483,0.8479999962586361,0.857372833041215,0.8418778905747967,0.8869376549259781,0.8745610193319208
69,529,0.7354722204522924,0.743983390841347,0.7679906062949903,0.8099717091756202,0.7552344184346088,0.7803024009884018,0.8592426036581867,0.8504990554703773,0.8078882563669914
70,530,0.8400988622888501,0.8864579744196995,0.7497199329780665,0.8180889536988831,0.6207554833197939,0.6890333014015242,0.6813509122572501,0.6890333014015242,0.7264068606761459
71,531,0.605611486200476,0.600372964210911,0.61238829507804,0.625559250403647,0.0,0.0,0.0,0.0,0.0
72,532,0.6914666477156128,0.6657838314792164,0.6794588024500231,0.6784481824700729,0.8190704110218857,0.8113014091073913,0.836236614344933,0.8304490054785427,0.8111692428714242
73,533,0.7142568495648225,0.7355861184408657,0.7616439290203703,0.7263443737262293,0.7870134706016699,0.7958939296705128,0.8035844888012936,0.8141394788654436,0.8000956848982191
74,534,0.7899759246208641,0.8086781083765129,0.7375583336171825,0.7558851743577925,0.885154810707746,0.8559720665814029,0.8701372823277961,0.8624396311187706,0.8400988622888501
75,535,0.7383916445196371,0.721080845868323,0.6999080199302095,0.7129767727317575,0.9030653101591645,0.8956345286313618,0.8832245509861065,0.8650013367252573,0.8680197989236023
76,537,0.7696162821079159,0.7612936911125835,0.7508965152848701,0.7511884809064692,0.8934076905784726,0.8870602750898858,0.8788348105266882,0.8737228697158307,0.885254707561095
77,538,0.6509824977588072,0.6253854430509304,0.6187292829976369,0.6349918001264004,0.8974930089600832,0.8049179983732762,0.8886767909787651,0.0,0.8163224464135878
78,701,0.6070884111849918,0.6101806909884261,0.6207554833197939,0.6038960404031227,0.8246702823252572,0.825634380571008,0.8320886559173225,0.849230469747789,0.8435873234088889
79,702,0.643889353735828,0.6319467536021744,0.6164703526564723,0.6433108438830617,0.5869454790992377,0.5953136169248289,0.6151283503611296,0.5946031530093805,0.6010431976876913
